Ano,Mês,Hospital,Internações,Lotação Máxima,Ocupação
2018,4,2077655 ASSOC AACD V CLEMENTINO,12,56,21.428571428571427
2018,5,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2018,6,2077655 ASSOC AACD V CLEMENTINO,7,56,12.5
2018,7,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2018,8,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2018,9,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2018,10,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2018,11,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2018,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2019,1,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2019,2,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2019,3,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2019,4,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2019,5,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2019,6,2077655 ASSOC AACD V CLEMENTINO,11,56,19.642857142857142
2019,7,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2019,8,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2019,9,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2019,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2019,11,2077655 ASSOC AACD V CLEMENTINO,14,56,25.0
2019,12,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2020,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,2,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2020,3,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,4,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,5,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,6,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,9,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,11,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2020,12,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2021,1,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2021,2,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,3,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,4,2077655 ASSOC AACD V CLEMENTINO,24,56,42.857142857142854
2021,5,2077655 ASSOC AACD V CLEMENTINO,36,56,64.28571428571429
2021,6,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,9,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2021,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,11,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2021,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2022,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2022,2,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2022,3,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2022,4,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2022,5,2077655 ASSOC AACD V CLEMENTINO,11,56,19.642857142857142
2022,6,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2022,7,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2022,8,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2022,9,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2022,10,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2022,11,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2022,12,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2023,1,2077655 ASSOC AACD V CLEMENTINO,7,56,12.5
